127.0.0.1 - - [15/May/2018:17:09:38 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/May/2018:17:10:38 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:10:38 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:13:05 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [15/May/2018:17:13:05 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:13:05 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:14:36 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [15/May/2018:17:14:36 +0530] "GET /Online_Social_Network/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:14:36 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:14:36 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:14:36 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:14:36 +0530] "GET /Online_Social_Network/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:47 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:47 +0530] "GET /Online_Social_Network/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:47 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:47 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:47 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:47 +0530] "GET /Online_Social_Network/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:53 +0530] "POST /Online_Social_Network/Post.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:16:53 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [15/May/2018:17:17:49 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [15/May/2018:17:17:49 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:17:49 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:17:54 +0530] "POST /Online_Social_Network/Post.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:42 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:42 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:42 +0530] "GET /Online_Social_Network/assets/css/newchat.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:42 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:44 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:44 +0530] "GET /Online_Social_Network/Post/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:44 +0530] "GET /Online_Social_Network/Post/css/newchat.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:44 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:44 +0530] "GET /Online_Social_Network/Post/js/jquery.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:44 +0530] "GET /Online_Social_Network/Post/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/css/newchat.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/js/jquery.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/css/newchat.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/js/jquery.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [15/May/2018:17:21:46 +0530] "GET /Online_Social_Network/Post/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [15/May/2018:17:22:12 +0530] "GET /Online_Social_Network/PostWeb.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [15/May/2018:17:22:12 +0530] "GET /Online_Social_Network/Post/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144832
0:0:0:0:0:0:0:1 - - [15/May/2018:17:22:12 +0530] "GET /Online_Social_Network/Post/css/newchat.css HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [15/May/2018:17:22:12 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2018:17:22:12 +0530] "GET /Online_Social_Network/Post/js/jquery.min.js HTTP/1.1" 200 86658
0:0:0:0:0:0:0:1 - - [15/May/2018:17:22:12 +0530] "GET /Online_Social_Network/Post/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 67742
