0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/css/icomoon.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/css/magnific-popup.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/css/salvattore.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/css/style.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_2.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_4.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/js/jquery.min.js HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_3.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_6.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_7.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/images/img_8.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/js/jquery.waypoints.min.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/js/jquery.magnific-popup.min.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/js/salvattore.min.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:10 +0530] "GET /Online_Social_Network/Image/js/main.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/animate.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/icomoon.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/magnific-popup.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/salvattore.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/style.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_2.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_3.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_4.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/jquery.min.js HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_6.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_8.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_7.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/jquery.waypoints.min.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/jquery.magnific-popup.min.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/salvattore.min.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/main.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/animate.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/icomoon.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/magnific-popup.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/salvattore.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/css/style.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_2.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_3.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_4.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_6.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/jquery.min.js HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_7.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/images/img_8.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/jquery.waypoints.min.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/jquery.magnific-popup.min.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/salvattore.min.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:11 +0530] "GET /Online_Social_Network/Image/js/main.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [08/May/2018:14:59:12 +0530] "GET /Online_Social_Network/Image/images/img_1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/assets/css/icomoon.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/assets/css/animate.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/assets/css/magnific-popup.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/assets/css/salvattore.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/assets/css/style.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/images/img_1.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/images/img_2.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/images/img_3.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/images/img_4.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/images/img_5.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [08/May/2018:15:10:19 +0530] "GET /Online_Social_Network/images/img_6.jpg HTTP/1.1" 404 1120
